source_name,agency,portal_url,dataset_name,dataset_id,geometry_type,format,update_frequency,access_method,texas_only,atlas_tx_use_case,priority,notes
Texas Open Data Portal,State of Texas,https://data.texas.gov/,TCEQ Water Quality Individual Permits,7fq8-wig2,point+tabular,Socrata JSON/CSV,unknown,Socrata API,true,Core regulated-facility density and permit context,P0,Already in Atlas TX registry
Texas Open Data Portal,State of Texas,https://data.texas.gov/,Texas Water Districts,hr84-s96f,tabular/viewer-backed,Socrata JSON/CSV,unknown,Socrata API,true,Core water-governance context,P0,Already in Atlas TX registry
Federal external,U.S. EPA,https://echo.epa.gov/tools/data-downloads/sdwis-downloads,SDWIS drinking water violations,epa-sdwis-violations,tabular,API/download,unknown,external fetcher,true,Core drinking-water risk input filtered to Texas,P0,Already in Atlas TX registry
Federal external,U.S. EPA,https://www.epa.gov/ejscreen,Environmental Justice indicators,epa-ejscreen-2024,polygon+tabular,API/download,annual-ish,external fetcher,false,Core burden/exposure overlay,P0,Already in Atlas TX registry
Federal external,U.S. Census Bureau,https://api.census.gov/data.html,ACS 5-year county + block group demographics,census-acs5-2023-county,polygon+tabular,API,annual,external fetcher,false,Population denominators and demographic context,P0,Already in Atlas TX registry
Federal external,U.S. EPA,https://echo.epa.gov/tools/data-downloads,Enforcement and Compliance History,epa-echo-violations,point+tabular,API/download,unknown,external fetcher,false,Compliance-gap and enforcement context,P1,Registered secondary source
Federal external,U.S. EPA,https://www.epa.gov/toxics-release-inventory-tri-program,TRI facility releases,epa-tri,point+tabular,download/API,annual,external fetcher,false,Facility-release burden overlay,P1,Mentioned in README as secondary
TCEQ GIS,TCEQ,https://gis-tceq.opendata.arcgis.com/,TCEQ GIS Data Hub - water program layers,,mixed,ArcGIS Hub/feature services,unknown,ArcGIS Hub,true,Water-related geometry and supplemental environmental layers,P1,Check hub layer-by-layer before adding to registry
TCEQ GIS,TCEQ,https://www.tceq.texas.gov/gis/tceq-geographic-data-viewers,TCEQ Geographic Data Viewers,,mixed,viewer,unknown,viewer/manual,true,Discover available water/environment layers and geometry sources,P2,Viewer pages may point to downloadable services
TCEQ GIS,TCEQ,https://www.tceq.texas.gov/gis/iwudview.html,Water Districts Map Viewer,,polygon/viewer,viewer,unknown,viewer/manual,true,Potential district geometry source,P1,Useful if Socrata row data lacks clean geometry
TCEQ GIS,TCEQ,https://www.tceq.texas.gov/gis/waterwellview.html,Water Well Report Viewer,,point/viewer,viewer,unknown,viewer/manual,true,Well context and groundwater screening,P2,Check against TWDB well layers to avoid duplication
TCEQ GIS,TCEQ,https://www.tceq.texas.gov/gis/edwards-viewer.html,Edwards Aquifer Map Viewer,,mixed,viewer,unknown,viewer/manual,true,Aquifer-specific context for regional analysis,P2,Regional rather than statewide
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,Major Aquifers,,polygon,zipped shapefile,static/manual updates,direct download,true,Aquifer burden and water-source context,P1,Verified live shapefile link
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,Minor Aquifers,,polygon,zipped shapefile,static/manual updates,direct download,true,Aquifer burden and water-source context,P1,Verified live shapefile link
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,Major River Basins,,polygon,zipped shapefile,static/manual updates,direct download,true,Watershed/regional hydrology context,P1,Verified live shapefile link
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,HUC 8 hydrologic units,,polygon,zipped shapefile,2014 on page,direct download,true,Hydrologic joins and watershed aggregation,P1,Verified live shapefile link
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,Existing Reservoirs,,polygon,zipped shapefile,2014 on page,direct download,true,Reservoir proximity and storage context,P1,Verified live shapefile link
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,Precipitation,,polygon/raster-like,zipped shapefile,1981-2010 climatology on page,direct download,true,Climate and hydrologic background layer,P3,Useful context but not core MVP
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,Major Rivers,,line,zipped shapefile,2009 on page,direct download,true,Surface-water context and map legibility,P2,Verified live shapefile link
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,GWDB Well Locations,,point,zipped shapefile,nightly,direct download,true,Groundwater/well exposure context,P1,High-value candidate
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,SDRDB Well Locations,,point,zipped shapefile,nightly,direct download,true,Groundwater/well and drilling-report context,P1,High-value candidate
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,SDRDB Plugging Report Locations,,point,zipped shapefile,unknown,direct download,true,Well plugging and legacy well context,P2,Potential contamination-risk context
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,GCD boundaries,,polygon,zipped shapefile,unknown,direct download,true,Groundwater governance overlays,P1,Useful governance geometry
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,GMA boundaries,,polygon,zipped shapefile,unknown,direct download,true,Groundwater management-area overlays,P2,Regional planning context
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,PGMA boundaries,,polygon,zipped shapefile,unknown,direct download,true,Priority groundwater management overlays,P2,Useful for stress/vulnerability framing
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,RWPA boundaries,,polygon,zipped shapefile,unknown,direct download,true,Regional water planning overlays,P1,Strong planning-context candidate
TWDB GIS,TWDB,https://www.twdb.texas.gov/mapping/gisdata.asp,FPR regional flood planning groups,,polygon,zipped shapefile,unknown,direct download,true,Flood-planning overlays,P2,Useful resilience context
TWDB GIS,TWDB,https://txwaterdatahub.org/,Texas Water Data Hub,,mixed,CKAN/API,unknown,API/portal,true,Future water-data discovery and API source,P2,Site was in enhancement mode when checked
TWDB GIS,TWDB,https://www.twdb.texas.gov/groundwater/bracs/GISdata.asp,BRACS GIS data,,mixed,download/webpage,unknown,direct download,true,Potential groundwater salinity/brackish context,P3,Needs separate relevance review
TxGIO StratMap,Texas Geographic Information Office,https://www.tnris.org/stratmap/orthoimagery.html,Orthoimagery,,raster,download/service,project-based,direct download/service,true,Basemap and physical-site context,P2,Good for visualization more than scoring
TxGIO StratMap,Texas Geographic Information Office,https://www.tnris.org/stratmap/elevation-lidar.html,Elevation / lidar,,raster/point-cloud,download/service,project-based,direct download/service,true,Topography, drainage, and flood-context analysis,P2,Check exact delivery format per release
TxGIO StratMap,Texas Geographic Information Office,https://www.tnris.org/stratmap/hydrography.html,Hydrography,,line+polygon,download/service,project-based,direct download/service,true,Statewide hydro base layer,P1,High-value geometry support
TxGIO StratMap,Texas Geographic Information Office,https://www.tnris.org/stratmap/land-parcels.html,Land parcels,,polygon,download/service,ongoing,direct download/service,true,Parcel-level local context and future service-area analysis,P2,Potentially large and operationally heavy
TxGIO StratMap,Texas Geographic Information Office,https://www.tnris.org/stratmap/address-points.html,Address points,,point,download/service,ongoing,direct download/service,true,Address geocoding and population adjacency context,P2,Potentially useful for facility/community joins
TxDOT Open Data,TxDOT,https://gis-txdot.opendata.arcgis.com/,TxDOT Roadways,,line,ArcGIS Hub/feature services,unknown,ArcGIS Hub,true,Road access and transport proximity overlays,P2,Observed as featured dataset on portal
TxDOT Open Data,TxDOT,https://gis-txdot.opendata.arcgis.com/,TxDOT Projects,,point/line,ArcGIS Hub/feature services,unknown,ArcGIS Hub,true,Infrastructure-buildout and disruption context,P3,Observed as featured dataset on portal
